pageTitle,pageContent
BM104 - Kesikli Matematiksel Yapılar - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Matematiksel Mantık ve Küme Teorisine Bakış.




2
Matematiksel Mantık.




3
Argümanlar ve sonuç çıkarma kuralları.




4
Yüklemler ve Niceleyiciler




5
Matematiksel Sistemler, Doğrudan ispatlar ve karşıt örnek kavramı.




6
Matematiksel indüksiyon ve uygulamaları.




7
Fonksiyonlar ve diziler.




8
Bağıntılar./ARA SINAV




9
Eşdeğerlilik ilişkileri ve bağıntıların matris gösterimi.




10
Bağıntı özelliklerinin matris gösterimi ile belirlenmesi.

Ders



11
Özyinelemeli bağıntılar ve çözümü.




12
Graf teorisine giriş. Yönlü ve yönsüz graflar.




13
Ağaçlara giriş.




14
Ağaçların uygulamaları. Huffman kodu ve ikili arama ağacı.








"
BM106 - Bilgisayar Programlama II - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Diziler ve Fonksiyonlar

Ders



2
İşaretçiler ve İşaretçi Aritmetiği

Ders



3
İşaretçi Dizileri

Ders



4
Fonksiyonlarda İşaretçi Kullanımı

Ders



5
Karakter ve String İşlemleri

Ders



5
Karakter ve String İşlemleri

Ders



7
Dinamik Bellek 

Ders



8
Enum ve Struct 

Ders



9
Struct Dizileri

Ders



10
Struct ve İşaretçiler

Ders



11
Fonksiyonlarda Struct Kullanımı

Ders



12
Typedef ve Union Yapıları

Ders



13
Dosya İşlemleri

Ders



13
Dosya İşlemleri

Ders







"
ENG102 - İngilizce II - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Sayılabilen ve sayılamayan isimler




2
Nicelik sıfatları




3
Geçmiş zaman - olumlu,olumsuz, soru




4
Geçmiş zaman - düzenli, düzensiz fiiller




5
Geçmiş zaman - soru Ne, nerede, nasıl, neden, ne  zaman




6
Geçmiş zaman - soru Ne, kim




7
Gelecek zaman, zaman  zarfları




8
Ara sınav




9
Gelecek zaman - will




10
May / Might vs. Will, Maybe (One Word) vs. May Be (Two Words), Future Time Clauses with Before, After, and When, Clauses with If




11
İzin, rica, tavsiye




12
Emir cümleleri, isim - sıfat tamlamaları




13
Sıfat ve zarflar, karşılaştırmalar




14
Enüstünlük derecesi








"
FIZ102 - Fizik II - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Akışkanlar Mekaniği; Basınç; Basıncın derinlikle değişimi;Kaldırma Kuvveti ve Archimedes Prensibi; Akışkanlar dinamiği; Akış çizgileri ve süreklilik denklemi; Bernoulli denklemi




1
Yük ve madde




2
Coulomb Yasası ve Elektrik Alanları Elektrik yüklerinin özellikleri; Yalıtkanlar ve iletkenler; Coulomb yasası; Elektrik alanı; Sürekli bir yük dağılımının elektrik alanı;Elektrik alan çizgileri; Düzgün bir elektrik alanda yüklü parçacıkların hareketi




2
Coulomb Yasası ve elektrik alanlar




3
Gauss Yasası Elektrik akısı; Gauss yasası; Gauss yasasının yüklü yalıtkanlara uygulanması; Elektrostatik dengedeki iletkenler




3
Gauss yasası




4
Elektriksel Potansiyel Elektriksel potansiyel ve potansiyel farkı; Düzgün bir elektrik alandaki potansiyel farkları; Elektriksel potansiyel ve noktasal yüklerin oluşturduğu potansiyel enerji; Elektriksel potansiyelden elektrik alan elde edilmesi; Sürekli yük dağılımının oluşturduğu elektriksel potansiyel; Yüklü bir iletkenin potansiyeli




4
Gauss yasası ve uygulamaları




5
Elektriksel potansiyel




5
Sığa ve Dielektrikler Sığanın tanımı; Sığanın hesaplanması; Kondansatörlerin bağlanması; Yüklü Yüklü kondansatörde depolanan enerji; Dielektrikli kondansatörler




6
Akım ve Direnç Elektrik akımı; Direnç ve Ohm kanunu; Elektriksel iletkenlik için bir model; Direnç ve sıcaklık; Elektrik enerjisi ve güç / Doğru Akım Devreleri Elektromotor kuvveti; Seri ve paralel bağlı dirençler; Kirchhoff kuralları; RC devreleri; Elektrik Ölçü aletleri




6
Sığa ve dielektrikler




7
Akım ve direnç




7
Manyetik Alanlar Manyetik alan; Akım taşıyan bir iletkene etkiyen manyetik kuvvet; Düzgün bir manyetik alan içindeki akım halkasına etkiyen tork.




8
Arasınav - Yüklü bir parçacığın düzgün bir manyetik alan içindeki hareketi, Hall olayı.




8
Ara Sınav - Doğru akım devreleri




9
Manyetik alanlar




9
Manyetik Alan Kaynakları Biot-Savart yasası; İki paralel iletken arasındaki manyetik kuvvet; Ampere yasası; Bir selenoidin manyetik alanı; Manyetik akı; Manyetizmada Gauss yasası; Yerdeğiştirme akımı ve Ampere yasasının genel biçimi




10
Manyetik alan kaynakları




10
Faraday'ın indiksiyon kanunu; Hareketsel EMK; Lenz yasası; İndiksiyon EMK'leri ve elektrik alanları, Maxwell'in harika denklemleri denklemleri / İndüktans Öz-indüktans; RL devreleri; Manyetik alan içinde enerji; Karşılıklı indüktans; LC devresinde salınımlar




11
Alternatif Akım Devreleri AA kaynakları ve fazörler; Dirençli AA devresi; İndüktörlü AA devresi; Kondansatörlü AA Devresi




11
Faraday kanunu




12
RLC seri devresi; AA devresinde güç; Seri RLC devresinde rezonans; Transformatörler ve güç iletimi




12
İndüktans




12
Alternatif Akım Devreleri




13
Elektromanyetik Dalgalar Maxwell denklemleri ve Hertz'in buluşları; Düzlem elektromanyetik dalgalar.




14
Elektromanyetik dalgalar




14
Elektromanyetik dalgaların taşıdığı enerji; Momentum ve radyasyon basıncı; Elektromanyetik dalgaların spektrumu








"
MAT102 - Matematik II - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Belirsiz integral tanımı ve temel kavramlar

Ders



2
Basit integral alma kuralları

Ders



3
Değişken değiştirme, kısmi integrasyon

Ders



4
Basit kesirlere ayırma, trigonometrik dönüşümler

Ders



5
İntegralin temel teoremleri

Ders



6
Belirli integralin tanımı ve temel kavramlar

Ders



7
Alt ve üst toplamlar, Riemann integrali

Ders



8
Ara Sınava hazırlık ve konu tekrarı

Ders



9
Dönel yüzeylerin alan ve hacim hesabı

Ders



10
Diziler, dizilerin özellikleri

Ders



11
Altdizi, dizilerde limit

Ders



12
Seri kavramı ve özel seriler

Ders



13
Yakınsaklık testleri

Ders



14
Kuvvet serileri ve bir fonksiyonun seriye açılımı, yaklaşık hesap

Ders







"
TRK102 - Türk Dili II - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Kompozisyonla ilgili genel bilgiler.




2
Yazılı kompozisyon türleri I.




3
Yazılı kompozisyon türleri II. 




4
Şiir.




5
Tiyatro.




6
Hikaye ve roman.




7
Destan.




8
Ara Sınav - Masal-gezi yazısı-anı.




9
Sözlü kompozisyon.




10
Sözlü kompozisyon türleri I.




11
Sözlü kompozisyon türleri II.




12
Bilgi kaynaklarına erişim ve kütüphane kullanımı.




13
Bilimsel yazı hazırlama teknikleri.




14
Edebiyat ve düşünce dünyası.








"
BŞÜ100 - Ders Dışı Etkinlik - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




12
Etkinlik




12
Etkinlik




12
Etkinlik




12
Etkinlik








"
TOS101 - Ölçme ve Kalibrasyon - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu








"
TOS102 - İnovasyon - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
İnovasyon ve Açık İnovasyon Kavramı




2
İnovasyon ve Girşimcilik




3
İnovasyon Türleri, İnovasyonun ülkemiz ve dünya ekonomisindeki yeri ve önemi, İnovasyon ve Ar-Ge




5
Yaratıcı Düşünce Yaklaşımları ve İnovatif Fikir Üretim Metodları(Triz, Beyin Fırtınası, Scamper)




5
Yaratıcı Düşünce Yaklaşımları ve İnovatif Fikir Üretim Metodları(Triz, Beyin Fırtınası, Scamper)




6
Yaratıcı Düşünce Yaklaşımları ve İnovatif Fikir Üretim Metodları(Triz, Beyin Fırtınası, Scamper) ve Uygulamaları, Öğrenci Uygulamaları




7
İnovasyonun işletmelere ve kişilere katkısı, inovasyon süreci için gerekli organizasyon yapısı ve yönetim yaklaşımları, Ürün, süreç ve iş modeli inovasyonu; yeni iş modeli sistematiği, yeni fırsat alanlarının belirlenmesi ve  değişim yönetiminde iş modeli inovasyonun kullanımı,




8
Ara Sınavlar




9
İnovasyonda liderlik ve başarı inovasyoncuların özellikleri




10
Kurumlarda inovasyonun başarılı ve başarısız yönleri,  Ulusal inovasyon girişimi ve yapısı




11
İnovasyonda Biyotaklit yaklaşımı, Uygulamalı örnekler




12
Fikri Mülkiyet Hakları(Patent, Faydalı Model, Tasarım, Marka, Cografi işaret…)




12
Fikri Mülkiyet Hakları(Patent, Faydalı Model, Tasarım, Marka, Cografi işaret…)




14
Öğrenci Uygulamarı ve Sunumları








"
TOS103 - Performans Yönetimi - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu








"
TOS104 - İstatiksel Proses Kontrol - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu








"
TOS106 - Yönetim ve Organizasyon - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu








"
TOS107 - İletişim Tekniği - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Dersin tanıtımı. 




2
İletişim nedir? 




3
İletişimin anlaşılması




4
İletişimin dinamikleri




5
İletişim becerileri




6
Ara sınav




7
Sözlü, sözsüz iletişim nasıl kullanılılabilir? 




8
Mesajlar ve anlamları




9
Beden dili nedir




9
Beden dili nedir




11
İkna




12
İkna edici iletişim




13
Örgütsel iletişim ve Bireyler arası iletişim




14
Toplantı yönetimi




16
Final Sınavı




16
Final Sınavı








"
TOS108 - Meslek Hastalıkları - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
İş kazası nedir?

Ders



2
İş kazası istatistikleri

Ders



3
İş kazalarının sınıflandırılması

Ders



4
Kaza teorileri

Ders



5
İş kazalarının nedenleri

Ders



6
İş kazalarında denetim mekanizması

Ders



7
İş kazalarının raporlanması ve bildirim mekanizması

Ders



8
İş kazalarından doğan sorumluluklar

Ders



9
Büyük endüstriyel kazalar

Ders



10
Kaza önleme ve güvenlik performansı

Ders



11
Meslek Hastalıkları ve Sınıflandırılması

Ders



12
Meslek Hastalıkları 1

Ders



13
Meslek Hastalıkları 2

Ders



13
Meslek Hastalıkları 3

Ders



14
Meslek Hastalıkları Önleme Politikaları

Ders







"
TOS109 - Sanat Tarihi - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Tarih Öncesi ve İlk Çağ'da Anadolu, Mezopotamya ve Eski Mısır Sanatı

Tartışmalı Ders



2
Doğu Sanatı; İran

Tartışmalı Ders



3
Uzak Doğu Sanatı; Hindi Çin, Hint, Çin, Japon Sanatı

Tartışmalı Ders



4
Yunan ve Roma Sanatı

Tartışmalı Ders



5
Bizans ve Osmanlı Sanatı




5
Bizans ve Osmanlı Sanatı




7
Türk & İslam Sanatı

Tartışmalı Ders



8
ARA SINAV




9
İspanya ve Kuzey Afrika İslam Sanatı

Tartışmalı Ders



10
Avrupa Sanatı

Tartışmalı Ders



10
Avrupa Sanatı

Tartışmalı Ders



12
19.-20. Yüzyıl Sanat Akımları

Tartışmalı Ders



12
19.-20. Yüzyıl Sanat Akımları

Tartışmalı Ders



12
19.-20. Yüzyıl Sanat Akımları

Tartışmalı Ders







"
TOS110 - Uygarlık Tarihi - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Uygarlık nedir? Batı uygarlığı nedir?  Paleolitikten, neolitiğe geçiş ve geçiş süreci…




2
Tarihte Mesopotamya halkları, katkılar, icatlar




3
Doğu Akdeniz halkları: İbrani toplulukları




4
 Roma’nın doğuşu : Cumhuriyetten İmparatorluğa:




5
Roma: Hristiyanlaşan İmperium Romanum: Bizans: Ortaçağ’lar,




6
İslamiyetin Yayılışı




7
İslamiyetin yayılışı




8
Erken modern Avrupa: Rönesans, keşifler- arasınav




9
Aydınlanma çağına doğru, Bilimsel Devrimler




10
 Fransız Devrimi nedenleri ve sonuçları




11
Sanayii Devrimi nedenleri ve sonuçları




12
Savaşlar ve Politik gelişmeler 




13
Soğuk savaş dönemi ve Küreselleşme




14
Yirmibirinci yüzyıla bakış








"
TOS111 - Bilim Tarihi - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Eski Uygarlıklarda Bilim (Mısır ve Mezopotamya, Antik Yunan)




2
Eski Uygarlıklarda Bilim (Antik Yunan)




3
Eski Uygarlıklarda Bilim (Helenistik Dönem ve Romalılar)




4
Ortaçağ Avruparında Bilim




5
İslam Dünyasında Bilim




6
Rönesans ve Modern Bilim (Astronomi, Kimya, Tıp ve Hayat Bilimleri)




7
Rönesans ve Modern Bilim (Galileo Galilei, Isaac Newton)




8
Sınav, Aydınlanma Çağı ve Bilim (18. yüzyılda astronomi, matematik ve fizik)




9
Aydınlanma Çağı ve Bilim (Lavoisier ve kimyada devrim)




10
Endüstri Devrimi ve Bilim (Fizikte Yeni Atılımlar ve Evrim Kuramı ve Darwin)




11
Endüstri Devrimi ve Bilim (Mikrobiyoloji ve Gen Teorisi)




12
Çağdaş Bilim (Einstein Devrimi)




13
Çağdaş Bilim (Kuantum Teorisi ve Atom Fiziğinin Doğuşu)




13
Çağdaş Bilim (Kuantum Teorisi ve Atom Fiziğinin Doğuşu)








"
